City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
472,Rio Formoso,BR,72.95,overcast clouds,-8.6636,-35.1586,Rio Formoso
473,Beeville,US,81.99,clear sky,28.4008,-97.7483,Beeville
475,Kropotkin,RU,70.9,overcast clouds,45.4375,40.5756,Kropotkin
476,Sobolevo,RU,52.77,light rain,54.4299,31.8996,Sobolevo
481,Fortuna Foothills,US,95.09,clear sky,32.6578,-114.4119,Yuma
482,Pocosol,CR,69.53,overcast clouds,10.3667,-84.6167,Pocosol
483,Santa Rosa,PH,92.08,broken clouds,14.3122,121.1114,Santa Rosa
485,Kutum,SD,76.8,clear sky,14.2,24.6667,Kutum
488,Jackson,US,78.67,clear sky,42.4165,-122.8345,Medford
489,Southbridge,US,62.71,light rain,42.0751,-72.0334,Southbridge
491,Ekhabi,RU,57.16,few clouds,53.5102,142.9671,Ekhabi
492,Koumra,TD,73.31,overcast clouds,8.9126,17.5539,Koumra
495,Nchelenge,ZM,55.62,clear sky,-9.3451,28.734,Nchelenge
504,Talara,PE,64.24,scattered clouds,-4.5772,-81.2719,Talara
595,Kalemie,CD,70.84,clear sky,-5.9475,29.1947,Kalemie
622,Wilmington,US,71.91,clear sky,34.2257,-77.9447,Wilmington
625,Nkayi,CG,65.86,clear sky,-4.1841,13.2884,Nkayi
631,Chumikan,RU,47.03,scattered clouds,54.7183,135.315,Chumikan
640,Athni,IN,80.02,overcast clouds,16.7333,75.0667,Athani
641,Great Yarmouth,GB,57.42,clear sky,52.6083,1.7305,Great Yarmouth
649,San Francisco,US,89.47,clear sky,37.7749,-122.4194,San Francisco
652,Fuyu,CN,85.33,overcast clouds,45.1833,124.8167,Songyuan
660,Manta,EC,71.38,overcast clouds,-0.95,-80.7333,Manta
662,Arcata,US,67.68,clear sky,40.8665,-124.0828,Arcata
